	Cluster	week	outlier
SRR12188731	C12	NA	0
SRR12188732	C02	NA	0
SRR12188733	C01	NA	0
SRR12188734	C11	NA	0
SRR12188735	C09	NA	0
SRR12188737	C12	NA	0
SRR12188738	C12	NA	0
SRR12192415	C11	NA	0
SRR12192416	C08	10	0
SRR12192417	C02	NA	0
SRR12192418	C07	NA	0
SRR12192419	C02	10	0
SRR12192420	C11	NA	0
SRR12192421	C11	NA	0
SRR12192422	C02	10	0
SRR12192423	C01	NA	0
SRR12192424	C04	NA	0
SRR12192425	C18	10	0
SRR12192426	C11	NA	0
SRR12192427	C10	NA	0
SRR12192428	C07	10	0
SRR12192429	C11	NA	0
SRR12192430	C11	NA	0
SRR12192431	C11	10	0
SRR12192432	C11	NA	0
SRR12192433	C04	NA	0
SRR12192434	C14	10	0
SRR12192435	C08	NA	0
SRR12192436	C04	NA	0
SRR12192437	C11	10	0
SRR12192438	C10	NA	0
SRR12192439	C07	NA	0
SRR12192440	C11	10	0
SRR12192441	C11	NA	0
SRR12192442	C11	NA	0
SRR12192443	C11	10	0
SRR12192445	C07	NA	0
SRR12192446	C11	NA	0
SRR12232540	C11	NA	0
SRR12232542	C15	NA	0
SRR12232543	C11	NA	0
SRR12232544	C09	NA	0
SRR12232545	C14	NA	0
SRR12232546	C14	NA	0
SRR12232547	C11	NA	0
SRR12232548	C10	NA	0
SRR12232549	C11	NA	0
SRR12232550	C11	NA	0
SRR12232552	C12	NA	0
SRR12232554	C08	NA	0
SRR12232555	C02	NA	0
SRR12232556	C02	NA	0
SRR12232557	C02	NA	0
SRR12232558	C01	NA	0
SRR12232559	C12	NA	0
SRR12232560	C12	NA	0
SRR12232561	C12	NA	0
SRR12232562	C12	NA	0
SRR12232563	C12	NA	0
SRR12232564	C12	NA	0
SRR12232565	C02	NA	0
SRR12232566	C11	NA	0
SRR12232567	C11	NA	0
SRR12232568	C11	NA	0
SRR12232569	C11	NA	0
SRR12232570	C11	NA	0
SRR12232571	C02	NA	0
SRR12232572	C15	NA	0
SRR12232573	C11	NA	0
SRR12232574	C12	NA	0
SRR12232575	C02	NA	0
SRR12232576	C11	NA	0
SRR12232577	C12	NA	0
SRR12232578	C11	NA	0
SRR12232579	C02	NA	0
SRR12232580	C12	NA	0
SRR12232581	C12	NA	0
SRR12232582	C02	NA	0
SRR12232583	C15	NA	0
SRR12232584	C12	NA	0
SRR12232586	C12	NA	0
SRR12232587	C12	NA	0
SRR12232589	C12	NA	0
SRR12232590	C15	NA	0
SRR12232591	C15	NA	0
SRR12232592	C07	NA	0
SRR12232593	C11	NA	0
SRR12232594	C12	NA	0
SRR12232595	C15	NA	0
SRR12245338	C02	10	0
SRR12245339	C01	NA	0
SRR12245343	C06	NA	0
SRR12245344	C11	10	0
SRR12245346	C01	NA	0
SRR12245351	C01	NA	0
SRR12245352	C18	10	0
SRR12245355	C02	NA	0
SRR12245357	C11	NA	0
SRR12245359	C04	11	0
SRR12245360	C09	NA	0
SRR12245363	C04	NA	0
SRR12245364	C11	10	0
SRR12245365	C10	NA	0
SRR12245371	C09	NA	0
SRR12245372	C06	10	0
SRR12245374	C06	NA	0
SRR12340748	C14	NA	0
SRR12340750	C11	17	0
SRR12340751	C12	NA	0
SRR12340753	C11	NA	0
SRR12340754	C11	17	0
SRR12340757	C11	NA	0
SRR12340758	C11	NA	0
SRR12340759	C08	17	0
SRR12340760	C07	NA	0
SRR12340761	C08	NA	0
SRR12340762	C08	14	0
SRR12340763	C15	NA	0
SRR12340764	C07	NA	0
SRR12340765	C07	17	0
SRR12340766	C16	NA	0
SRR12340768	C08	NA	0
SRR12340769	C08	17	0
SRR12340770	C08	NA	0
SRR12340771	C14	NA	0
SRR12340772	C11	17	0
SRR12340773	C11	NA	0
SRR12340774	C11	NA	0
SRR12340775	C11	17	0
SRR12340778	C11	NA	0
SRR12340780	C14	NA	0
SRR12340782	C11	17	0
SRR12340783	C09	NA	0
SRR12340784	C13	NA	0
SRR12340785	C09	17	0
SRR12340786	C09	NA	0
SRR12340787	C09	NA	0
SRR12340788	C08	14	0
SRR12340789	C09	NA	0
SRR12340790	C11	NA	0
SRR12340792	C11	15	0
SRR12340793	C11	NA	0
SRR12340794	C08	NA	0
SRR12340796	C11	15	0
SRR12340798	C16	NA	0
SRR12340799	C14	NA	0
SRR12340800	C14	17	0
SRR12344292	C11	NA	0
SRR12344293	C11	NA	0
SRR12344294	C11	NA	0
SRR12344295	C11	NA	0
SRR12344296	C08	NA	0
SRR12344307	C11	NA	0
SRR12344318	C11	NA	0
SRR12344326	C15	NA	0
SRR12344327	C14	NA	0
SRR12344328	C14	NA	0
SRR12344329	C04	NA	0
SRR12344330	C11	NA	0
SRR12344331	C07	NA	0
SRR12344332	C11	NA	0
SRR12344333	C02	NA	0
SRR12344334	C01	NA	0
SRR12344335	C11	NA	0
SRR12344336	C01	NA	0
SRR12344337	C14	NA	0
SRR12344338	C11	NA	0
SRR12344339	C11	NA	0
SRR12344340	C11	NA	0
SRR12352749	C12	NA	0
SRR12352750	C11	NA	0
SRR12352751	C11	NA	0
SRR12352752	C11	NA	0
SRR12352753	C16	NA	0
SRR12352754	C16	NA	0
SRR12352755	C14	NA	0
SRR12352756	C07	NA	0
SRR12352757	C07	NA	0
SRR12352758	C11	NA	0
SRR12352760	C11	NA	0
SRR12352764	C07	NA	0
SRR12352765	C14	NA	0
SRR12352766	C14	NA	0
SRR12352767	C14	NA	0
SRR12352768	C11	NA	0
SRR12352771	C07	NA	0
SRR12352773	C08	NA	0
SRR12352774	C07	NA	0
SRR12352775	C14	NA	0
SRR12352779	C07	NA	0
SRR12352780	C11	NA	0
SRR12352782	C08	NA	0
SRR12352783	C07	NA	0
SRR12352784	C07	NA	0
SRR12352785	C07	NA	0
SRR12352786	C08	NA	0
SRR12352787	C08	NA	0
SRR12352788	C08	NA	0
SRR12352789	C13	NA	0
SRR12352790	C08	NA	0
SRR12352791	C08	NA	0
SRR12352793	C14	NA	0
SRR12352794	C08	NA	0
SRR12352795	C11	NA	0
SRR12352796	C11	NA	0
SRR12352797	C14	NA	0
SRR12352798	C14	NA	0
SRR12352799	C08	NA	0
SRR12352800	C07	NA	0
SRR12352801	C14	NA	0
SRR12352802	C14	NA	0
SRR12352804	C07	NA	0
SRR12352805	C08	NA	0
SRR12352806	C11	NA	0
SRR12352807	C08	NA	0
SRR12352808	C14	NA	0
SRR12352809	C07	NA	0
SRR12352810	C08	NA	0
SRR12352811	C08	NA	0
SRR12352812	C14	NA	0
SRR12352813	C14	NA	0
SRR12352815	C08	NA	0
SRR12352816	C08	NA	0
